x pos,y pos,z pos,tag,time
42.31280136,418.3280029,6,14,45
24.09029961,418.6619873,14.81999969,8,45
301.2449951,303.5299988,6,15,45
311.2260132,347.4370117,6,18,45
138.4120026,41.20410156,18.02079964,16,45
232.1499939,244.5650024,26.23530006,2,45
421.0639954,166.8079987,23.66379929,4,45
103.2590027,253.1139984,6,27,45
178.6600037,120.5490036,6,28,45
136.6909943,38.99129868,15.56029987,16,46
391.9030151,64.31739807,6,10,46
407.9020081,129.2619934,6,11,46
322.553009,136.3600006,6,9,46
236.0820007,367.1669922,6,13,46
130.9060059,399.6610107,6,17,46
41.33750153,417.2449951,6,14,46
23.32900047,417.4760132,10.08940029,8,46
311.5490112,347.2919922,6,18,46
231.2290039,243.8580017,25.3519001,2,46
419.0130005,160.1399994,23.58530045,4,46
207.1309967,310.3450012,20.27969933,12,46
107.0449982,258.6629944,33,27,46
178.1179962,120.5490036,6,28,46
392.1690063,65.87640381,6,10,47
407.9719849,131.1109924,6,11,47
322.6870117,137.7709961,6,9,47
206.7890015,309.1199951,12.99100018,12,47
237.8849945,368.2290039,6,13,47
131.1529999,400.0840149,6,17,47
41.94720078,418.6260071,6,14,47
23.86919975,418.9859924,14.36730003,8,47
300.1000061,304.2269897,6,15,47
313.3599854,350.196991,6,18,47
135.4889984,37.22850037,17.11630058,16,47
231.3439941,244.9640045,26.41950035,2,47
420.4700012,160.5099945,26.29380035,4,47
177.0339966,117.8399963,6,28,47
392.9779968,64.93139648,6,10,48
407.9809875,130.8350067,6,11,48
322.3519897,137.0919952,6,9,48
206.3480072,306.4150085,6,12,48
131.0570068,399.5700073,6,17,48
41.82830048,418.0320129,6,14,48
240.9909973,367.7839966,8.375720024,13,48
23.66839981,418.3120117,16.00180054,8,48
299.9179993,304.144989,6,15,48
315.006012,351.8850098,6,18,48
135.5079956,35.70569992,18.22870064,16,48
231.7290039,245.0429993,26.92020035,2,48
426.428009,160.4660034,29.67550087,4,48
175.951004,117.8399963,6,28,48
393.3989868,63.43199921,6,10,49
408.1159973,129.3370056,6,11,49
322.6140137,135.8650055,6,9,49
206.6289978,305.3190002,6,12,49
131.0720062,396.9389954,6,17,49
40.72729874,416.1300049,10.73410034,14,49
300.5339966,302.0239868,6,15,49
316.2449951,351.2820129,6,18,49
134.6589966,31.16270065,19.18880081,16,49
231.6940002,243.5220032,26.96290016,2,49
24.48730087,416.7009888,16.64080048,8,49
430.1149902,160.7839966,30.24500084,4,49
175.3329926,116.8180008,12,28,49
393.2059937,63.41320038,6,10,50
407.9119873,129.4100037,6,11,50
322.4960022,136.1929932,6,9,50
207.0859985,306.2820129,6,12,50
244.1730042,369.4989929,6,13,50
131.177002,397.571991,6,17,50
40.91450119,416.6549988,8.154470444,14,50
23.73019981,417.625,15.49979973,8,50
300.3370056,301.9060059,6,15,50
315.9979858,351.8710022,6,18,50
133.8359985,30.21100044,18.19099998,16,50
231.2050018,244.5090027,25.57629967,2,50
433.7929993,164.6719971,29.61910057,4,50
175.8699951,116.8180008,12,28,50
392.6799927,63.81990051,6,10,51
407.6849976,130.0650024,6,11,51
321.9609985,137.0350037,6,9,51
243.3280029,370.8940125,6,13,51
131.0460052,398.3389893,6,17,51
41.23020172,417.3989868,6,14,51
20.7866993,419.3840027,15.97789955,8,51
299.894989,302.7739868,6,15,51
315.9639893,352.6109924,6,18,51
132.8619995,26.31220055,18.10630035,16,51
231.1959991,245.9060059,25.17880058,2,51
437.5960083,170.5509949,29.62190056,4,51
175.951004,117.2979965,6,28,51
393.3200073,64.59929657,6,10,52
407.3410034,130.5059967,6,11,52
321.5100098,137.7640076,6,9,52
243.1889954,372.2909851,6,13,52
130.6809998,398.6319885,6,17,52
40.82130051,418.1409912,6,14,52
17.06389999,422.9379883,14.44390011,8,52
299.3240051,304.1659851,6,15,52
132.1230011,24.68320084,17.82579994,16,52
230.8049927,246.4429932,25.03549957,2,52
438.8110046,174.1880035,29.10300064,4,52
177.2570038,118.4049988,9,28,52
393.697998,63.65390015,6,10,53
408.3169861,129.6159973,6,11,53
321.9649963,136.8399963,6,9,53
207.1069946,305.855011,6,12,53
131.7749939,397.9590149,6,17,53
41.72090149,416.927002,6,14,53
299.5710144,304.3970032,6,15,53
315.1520081,351.8640137,6,18,53
131.7030029,18.62560081,19.7723999,16,53
231.7579956,245.8950043,25.18860054,2,53
440.45401,174.526001,29.39010048,4,53
175.951004,118.9240036,6,28,53
392.1910095,66.67199707,6,10,54
406.9710083,132.4589996,6,11,54
320.8880005,139.1940002,6,9,54
205.7200012,308.1579895,6,12,54
130.0619965,399.4169922,6,17,54
40.08010101,419.1960144,12.7723999,14,54
298.4880066,307.0180054,6,15,54
313.3649902,353.2179871,6,18,54
129.322998,18.54999924,23.68829918,16,54
8.021710396,427.5710144,17.25090027,8,54
229.947998,248.4440002,26.26759911,2,54
176.7180023,121.1019974,9,28,54
392.5750122,67.27390289,6,10,55
406.9679871,132.5469971,6,11,55
321.2850037,139.651001,6,9,55
205.0639954,307.5880127,6,12,55
129.8829956,399.8649902,6,17,55
39.62900162,419.5419922,14.3739996,14,55
298.5029907,307.348999,6,15,55
313.5440063,352.9729919,6,18,55
6.316470146,428.2420044,18.35350037,8,55
230.0850067,248.9869995,27.07629967,2,55
176.4920044,123.8000031,6,28,55
392.2720032,67.8628006,6,10,56
407.1369934,132.6609955,6,11,56
321.572998,139.5039978,6,9,56
204.1589966,304.3980103,6,12,56
129.7799988,399.0440063,6,17,56
40.27970123,419.4519958,14.28009987,14,56
298.6879883,306.0469971,6,15,56
313.9440002,352.4960022,6,18,56
229.9920044,248.871994,27.45859909,2,56
176.1790009,123.2590027,9,28,56
392.302002,67.82749939,6,10,57
407.1560059,132.2429962,6,11,57
321.519989,139.3139954,6,9,57
204.3329926,304.7449951,6,12,57
129.598999,398.6940002,6,17,57
40.33179855,419.0690002,13.80609989,14,57
299.1789856,304.9880066,6,15,57
311.9249878,352.0849915,6,18,57
230.0070038,248.2630005,27.01510048,2,57
176.1790009,123.2590027,9,28,57
390.3410034,68.00730133,6,10,58
406.8970032,131.6069946,6,11,58
320.8739929,138.8450012,6,9,58
204.0240021,304.125,6,12,58
129.2749939,398.0069885,6,17,58
40.25910187,418.5629883,12.88529968,14,58
298.7810059,304.9519958,6,15,58
307.3250122,350.0870056,6,18,58
229.7189941,247.6360016,26.89780045,2,58
176.1790009,123.2590027,9,28,58
388.3710022,68.26490021,6,10,59
406.4609985,130.052002,6,11,59
320.6589966,137.970993,6,9,59
202.6300049,303.1860046,6,12,59
235.3710022,368.4500122,6,13,59
129.5540009,397.7919922,6,17,59
40.12340164,417.9020081,6,14,59
297.928009,304.4089966,6,15,59
306.2940063,348.3309937,6,18,59
229.4490051,247.0789948,25.02169991,2,59
177.0339966,122.1750031,6,28,59
388.1140137,68.3239975,6,10,60
406.4920044,129.673996,6,11,60
320.9049988,137.6439972,6,9,60
201.2200012,298.0010071,6,12,60
235.1060028,368.29599,6,13,60
129.9160004,398.1879883,6,17,60
40.95679855,417.6600037,8.95320034,14,60
297.5539856,305.5050049,6,15,60
307.5350037,347.8280029,6,18,60
-6.958000183,115.7730026,17.97100067,19,60
229.6049957,246.5579987,25.46899986,2,60
177.576004,121.6330032,6,28,60
388.9719849,68.14369965,6,10,61
406.9729919,129.6560059,6,11,61
321.6210022,138.0619965,6,9,61
200.128006,293.0360107,6,12,61
129.9550018,398.8580017,6,17,61
41.2723999,417.8909912,13.15509987,14,61
298.0050049,306.1740112,6,15,61
306.7130127,347.3179932,6,18,61
-1.52136004,112.7269974,20.15970039,19,61
229.8200073,246.5110016,26.37120056,2,61
177.0339966,123.2580032,6,28,61
389.4309998,68.01930237,6,10,62
407.0440063,129.6410065,6,11,62
321.4169922,138.0079956,6,9,62
200.7740021,291.6950073,6,12,62
130.4620056,400.75,6,17,62
235.8220062,368.7770081,8.501729965,13,62
41.34899902,418.1560059,13.47340012,14,62
298.1350098,306.1579895,6,15,62
305.4230042,346.2460022,6,18,62
12.71529961,114.0780029,20.43429947,19,62
230.3029938,247.1320038,27.73250008,2,62
90.94129944,67.68399811,33,20,62
177.0339966,123.2580032,6,28,62
389.5939941,68.09010315,6,10,63
